raceId,Count
1,5
100,3
1001,3
1003,1
1005,1
1006,3
1008,1
1009,1
1010,1
1011,1
1012,2
1013,2
1014,2
1015,1
1016,1
1019,3
1020,5
1022,2
1024,2
1025,2
1029,2
103,6
1032,2
1034,2
1037,2
1038,1
1039,6
104,4
1040,2
1041,1
1042,1
1043,1
1044,2
1045,2
1046,2
105,2
1051,1
1052,1
1053,3
1054,1
1057,2
1058,1
106,3
1060,2
1061,1
1062,6
1065,2
1066,1
107,1
1070,2
1071,1
1072,5
1073,1
1075,2
1076,2
1077,2
1078,2
108,3
1080,1
1082,1
1083,4
1084,1
1085,3
1087,2
109,1
1091,4
1092,1
1093,3
1094,1
1095,2
1096,1
110,8
112,3
114,2
115,1
116,1
119,6
12,4
122,5
124,10
126,2
128,2
129,3
13,2
130,7
131,1
132,3
133,1
134,2
135,2
136,2
137,1
138,2
14,2
140,3
141,3
142,4
143,6
145,2
147,3
148,5
149,2
15,2
151,2
152,4
153,5
154,5
155,2
156,1
157,2
158,1
159,1
16,4
160,2
161,1
162,3
163,7
164,7
165,4
166,3
167,5
168,6
170,1
171,9
172,2
173,2
174,3
175,5
176,3
177,7
178,4
179,1
18,8
180,6
181,5
183,2
184,3
185,1
186,1
187,6
188,6
189,4
19,3
191,4
192,2
193,3
194,2
195,2
196,3
197,6
198,1
199,10
2,4
20,1
200,6
203,12
204,3
206,3
207,5
208,1
209,5
21,6
210,4
211,12
213,6
214,6
215,2
216,5
217,3
218,4
219,3
22,2
220,3
221,4
222,2
223,2
224,3
225,7
226,6
227,2
228,2
229,13
23,5
230,10
231,4
234,2
235,5
236,5
237,6
238,3
239,3
24,5
240,4
241,9
242,3
243,1
244,5
245,6
246,4
247,7
248,1
249,2
25,1
250,5
251,8
252,2
253,5
254,2
255,8
256,8
257,9
258,7
259,8
26,7
260,5
261,4
262,4
263,6
265,11
266,7
267,3
268,7
269,4
27,1
270,2
271,9
272,5
273,11
274,8
275,6
276,6
277,2
278,4
279,2
280,2
281,3
282,4
283,6
284,4
285,9
286,8
287,7
288,5
29,2
290,5
291,3
292,12
293,6
294,4
295,2
296,8
297,1
298,3
299,12
3,2
30,2
300,4
301,1
302,4
303,3
304,5
305,2
306,2
307,6
308,4
309,2
31,1
310,2
311,5
312,5
313,2
315,1
316,3
317,1
318,5
319,6
32,3
320,6
321,2
322,4
323,4
324,3
325,7
326,2
328,1
329,3
33,1
330,5
331,2
332,3
333,4
334,7
335,6
336,3
337,1
338,4
339,1
34,1
340,3
341,2
342,2
343,1
344,1
345,2
346,1
347,2
348,1
349,3
35,2
350,1
351,5
352,4
353,7
354,1
355,2
356,4
357,5
358,1
359,1
36,3
360,4
361,8
