year,Avg_Max_laps
1950,75.5714285714286
1951,76.875
1952,81
1953,81.7777777777778
1954,80.2222222222222
1955,96
1956,83.5
1957,87.375
1958,72
1959,81.7777777777778
1960,80.1
1961,61.25
1962,69.3333333333333
1963,70.8
1964,72.2
1965,68.3
1966,66.8888888888889
1967,73.0909090909091
1968,71.0833333333333
1969,73.3636363636364
1970,70.5384615384615
1971,61
1972,67.0833333333333
1973,64.8666666666667
1974,65.2666666666667
1975,54.5714285714286
1976,64.375
1977,66.5882352941177
1978,64.75
1979,65
1980,63.5
1981,64.8666666666667
1982,66.25
1983,62.6666666666667
1984,62.5625
1985,64.5
1986,65.25
1987,63.0625
1988,64.4375
1989,64.9375
1990,65.75
1991,61.25
1992,64.75
1993,65.3125
1994,65.375
1995,66.1176470588235
1996,63.375
1997,62
1998,63.4375
1999,62.5
2000,63.1764705882353
2001,62.6470588235294
2002,64.1176470588235
2003,63.625
2004,62.3333333333333
2005,62.1052631578947
2006,63.1666666666667
2007,62.6470588235294
2008,62.0555555555556
2009,58.1176470588235
2010,59.4210526315789
2011,59.6315789473684
2012,59.6
2013,59.5263157894737
2014,59.6842105263158
2015,60.4736842105263
2016,60.3809523809524
2017,59.8
2018,60.1904761904762
2019,60.0952380952381
2020,61
2021,58.9545454545455
2022,58.8181818181818
