raceId,Sum_takeover_number,Sum_takeover_weight
1,278,1620
10,193,1224
100,196,1265
1000,111,646
1001,86,452
1002,132,790
1003,118,752
1004,105,690
1005,171,936
1006,147,911
1007,190,1104
1008,142,936
1009,159,916
101,248,1714
1010,113,701
1011,232,1506
1012,138,806
1013,178,1078
1014,128,767
1015,94,542
1016,121,751
1017,122,704
1018,140,976
1019,146,806
102,167,1022
1020,343,1965
1021,124,751
1022,171,992
1023,170,1028
1024,218,1395
1025,140,799
1026,186,1172
1027,169,1081
1028,181,1117
1029,260,1639
103,208,1157
1030,148,906
1031,117,588
1032,156,839
1033,247,1571
1034,91,474
1035,233,1475
1036,184,1116
1037,92,467
1038,174,1045
1039,135,641
104,234,1472
1040,158,915
1041,211,1136
1042,215,1367
1043,173,1014
1044,177,1199
1045,264,1509
1046,221,1368
1047,89,462
105,222,1454
1051,233,1405
1052,258,1566
1053,153,894
1054,131,805
1055,177,1051
1056,67,428
1057,178,1128
1058,126,703
1059,176,1138
106,205,1325
1060,179,999
1061,141,864
1062,175,961
1063,0,0
1064,99,579
1065,109,716
1066,264,1770
1067,87,565
1069,166,996
107,287,1877
1070,112,666
1071,208,1387
1072,111,646
1073,150,892
1074,272,1663
1075,111,569
1076,161,932
1077,107,626
1078,171,947
1079,233,1489
108,289,1661
1080,88,529
1081,137,838
1082,140,838
1083,190,1093
1084,276,1692
1085,130,768
1086,248,1652
1087,253,1453
1088,190,1216
1089,201,1152
109,158,909
1091,93,481
1092,167,982
1093,273,1723
1094,135,845
1095,288,1663
1096,212,1293
11,147,1061
110,218,1125
111,182,1213
112,201,1056
113,200,1096
114,114,748
115,185,1039
116,187,1196
117,174,1014
118,350,2230
119,124,677
12,161,975
120,227,1435
121,136,762
122,276,1850
123,258,1659
124,142,651
125,225,1359
126,185,1092
127,108,565
128,149,776
129,186,1012
13,139,872
130,170,904
131,168,1007
132,163,963
133,205,1118
134,134,801
135,165,868
136,109,644
137,155,823
138,167,941
139,140,833
14,135,865
140,138,685
141,161,895
142,222,1293
143,222,1258
144,133,727
145,175,1066
146,152,890
147,143,751
148,151,699
149,146,859
15,155,936
150,168,1094
151,133,780
152,179,907
153,114,705
154,152,802
155,151,887
156,167,1107
157,180,1209
158,172,957
159,119,653
16,226,1239
160,148,813
161,250,1526
162,144,816
163,233,1382
164,117,530
165,192,1154
166,165,979
167,188,1020
168,276,1616
169,130,805
17,149,996
170,210,1362
171,146,677
172,321,1984
173,157,957
174,193,1153
175,235,1183
176,183,989
177,152,782
178,83,386
179,141,845
18,176,870
180,155,752
181,188,1079
182,187,1144
183,225,1335
184,147,778
185,134,802
186,126,787
187,106,582
188,216,1193
189,149,796
19,194,1272
190,142,843
191,101,489
192,123,662
193,130,828
194,117,589
195,151,853
196,111,562
197,190,946
198,166,1085
199,180,993
2,159,1032
20,174,1254
200,184,986
201,101,620
202,125,678
203,117,547
204,150,882
205,133,830
206,131,720
207,124,658
208,201,1250
209,261,1438
21,179,983
210,117,614
211,147,794
212,258,1709
213,174,907
214,127,725
215,226,1390
216,138,749
217,225,1318
218,258,1623
219,119,763
22,162,1050
220,185,1232
221,175,939
222,169,1077
223,205,1358
224,109,545
225,211,1131
226,208,1170
227,163,961
228,210,1254
229,125,591
23,212,1185
230,79,374
231,146,772
232,116,676
233,132,721
234,107,567
235,125,667
236,118,627
237,130,679
238,161,1093
239,143,788
24,249,1527
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
25,182,1182
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
26,212,1193
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
27,211,1454
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
28,158,1196
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
29,126,841
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
3,261,1583
30,155,1124
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
31,239,1556
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
32,259,1566
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
33,203,1334
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,134,803
338,218,1306
339,168,1016
34,190,1160
340,259,1609
341,104,640
342,166,1035
343,138,959
344,309,2162
345,152,1007
346,225,1534
347,127,890
348,122,746
349,210,1337
35,205,1285
350,111,748
351,162,967
352,144,837
353,194,1102
354,204,1405
355,163,1110
356,0,0
357,0,0
358,0,0
359,0,0
36,169,1079
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
37,198,1286
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
38,180,1147
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
39,158,939
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
4,201,1437
40,104,656
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
41,321,1829
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
42,187,1142
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
43,128,797
430,0,0
431,0,0
432,0,0
433,0,0
