year,raceId,points,position,wins,constructorId
2019,1018,169,3,1,9
2019,1018,363,1,8,131
2019,1018,228,2,0,6
2019,1018,16,9,0,210
2019,1018,32,5,0,4
2019,1018,22,6,0,51
2019,1018,19,7,0,211
2019,1018,17,8,0,5
2019,1018,52,4,0,1
2019,1018,0,10,0,3
2020,1039,325,1,7,131
2020,1039,66,6,0,6
2020,1039,106,3,0,1
2020,1039,92,4,0,211
2020,1039,53,7,1,213
2020,1039,83,5,0,4
2020,1039,4,8,0,51
2020,1039,0,10,0,3
2020,1039,173,2,1,9
2020,1039,1,9,0,210
2021,1060,0,10,0,210
2021,1060,48,5,0,213
2021,1060,122,4,0,6
2021,1060,0,9,0,3
2021,1060,32,7,0,214
2021,1060,2,8,0,51
2021,1060,44,6,0,117
2021,1060,141,3,0,1
2021,1060,286,1,6,9
2021,1060,242,2,3,131
2022,1082,304,1,7,9
2022,1082,65,4,0,1
2022,1082,3,10,0,3
2022,1082,27,7,0,213
2022,1082,15,9,0,210
2022,1082,228,2,2,6
2022,1082,188,3,0,131
2022,1082,16,8,0,117
2022,1082,57,5,0,214
2022,1082,51,6,0,51
2003,116,9,8,0,19
2003,116,4,9,0,7
2003,116,11,6,1,17
2003,116,0,10,0,18
2003,116,13,5,0,16
2003,116,9,7,0,15
2003,116,52,4,0,4
2003,116,95,1,4,6
2003,116,82,2,2,3
2003,116,76,3,2,1
2002,132,2,10,0,21
2002,132,6,6,0,17
2002,132,0,11,0,16
2002,132,9,5,0,15
2002,132,14,4,0,4
2002,132,2,9,0,7
2002,132,2,8,0,18
2002,132,3,7,0,19
2002,132,37,3,1,1
2002,132,57,2,1,3
2002,132,102,1,7,6
2001,149,37,3,2,3
2001,149,1,10,0,22
2001,149,0,11,0,18
2001,149,1,9,0,21
2001,149,3,8,0,20
2001,149,5,7,0,19
2001,149,12,6,0,16
2001,149,13,5,0,17
2001,149,15,4,0,15
2001,149,53,2,2,1
2001,149,94,1,5,6
2000,166,88,1,5,6
2000,166,17,4,0,3
2000,166,9,6,0,16
2000,166,18,3,0,22
2000,166,0,10,0,18
2000,166,0,11,0,20
2000,166,11,5,0,17
2000,166,3,9,0,21
2000,166,82,2,4,1
2000,166,3,8,0,15
2000,166,3,7,0,19
1999,183,0,10,0,16
1999,183,4,7,0,15
1999,183,0,11,0,18
1999,183,2,8,0,20
1999,183,72,2,4,1
1999,183,1,9,0,21
1999,183,12,6,0,24
1999,183,16,5,0,22
1999,183,19,4,0,3
1999,183,34,3,1,17
1999,183,74,1,4,6
1998,199,86,1,5,1
