Year,Average top speed,Average distance between 1st and 2nd,Average distance between 2nd and 3rd,Average overtaking number,Average overtaking weight,Average number of pitstops,Average length of pitstops,Average differences between race finish positions and season finish positions,Avg Accidents/Collision/Fatal accident,Avg # of laps
1950,0,66090,127084,0,0,0,0,10.540625,2.142857143,75.57142857
1951,0,69008,106973,0,0,0,0,7.879888268,1.5,76.875
1952,0,113130,146251,0,0,0,0,15.02674419,0.75,81
1953,0,79295,96404,0,0,0,0,13.33841463,1.888888889,81.77777778
1954,0,72091,135806,0,0,0,0,11.575,2.111111111,80.22222222
1955,0,40380,92555,0,0,0,0,8.847222222,2.714285714,96
1956,0,44920,146701,0,0,0,0,9.463157895,2.125,83.5
1957,0,47508,107609,0,0,0,0,8.779239766,2.125,87.375
1958,0,72662,50992,0,0,0,0,8.573839662,2.636363636,72
1959,0,29880,83312,0,0,0,0,8.525641026,2.333333333,81.77777778
1960,0,51992,62344,0,0,0,0,12.87272727,1.7,80.1
1961,0,13525,36675,0,0,0,0,5.580681818,1.625,61.25
1962,0,40710,65092,0,0,0,0,5.1132287,1.777777778,69.33333333
1963,0,94496,95430,0,0,0,0,3.985655738,1.5,70.8
1964,0,46215,102600,0,0,0,0,4.2,0.9,72.2
1965,0,20989,43924,0,0,0,0,4.267156863,0.4,68.3
1966,0,53592,136092,0,0,0,0,3.746987952,1.444444444,66.88888889
1967,0,51072,80346,0,0,0,0,4.094527363,0.727272727,73.09090909
1968,0,72725,94495,0,0,0,0,3.707048458,2.083333333,71.08333333
1969,0,51703,61333,0,0,0,0,3.037356322,1,73.36363636
1970,0,29608,58811,0,0,0,0,4.510452962,0.846153846,70.53846154
1971,0,21337,35357,0,0,0,0,4.865612648,1.909090909,61
1972,0,25002,45083,0,0,0,0,4.989273927,2.416666667,67.08333333
1973,0,15132,42206,0,0,0,0,4.213256484,2.6,64.86666667
1974,0,18935,40082,0,0,0,0,4.828914141,2.6,65.26666667
1975,0,25682,37540,0,0,0,0,4.53422619,4.142857143,54.57142857
1976,0,22554,36447,0,0,0,0,4.449275362,3.3125,64.375
1977,0,14336,27511,0,0,0,0,5.203054299,4.176470588,66.58823529
1978,0,16354,15811,0,0,0,0,3.971603563,3.8125,64.75
1979,0,15980,35673,0,0,0,0,3.855229592,3.333333333,65
