year,raceId,position,milliseconds
2009,1,1,5655784
2009,1,2,5656591
2009,1,3,5657388
2009,10,1,5903876
2009,10,2,5915405
2009,10,3,5920762
2004,100,1,5082700
2004,100,2,5084830
2004,100,3,5085814
2018,1000,1,5836427
2018,1000,2,5853550
2018,1000,3,5856528
2018,1001,1,5014476
2018,1001,2,5025537
2018,1001,3,5045848
2018,1002,1,4614484
2018,1002,2,4623189
2018,1002,3,4628550
2018,1003,1,6671611
2018,1003,2,6680572
2018,1003,3,6711595
2018,1004,1,5245181
2018,1004,2,5247726
2018,1004,3,5252668
2018,1005,1,5237062
2018,1005,2,5249981
2018,1005,3,5251357
2018,1006,1,5658643
2018,1006,2,5659924
2018,1006,3,5660985
2018,1007,1,5908851
2018,1007,2,5926167
2018,1007,3,5958765
2018,1008,1,5229066
2018,1008,2,5230535
2018,1008,3,5233830
2018,1009,1,5980382
2018,1009,2,5982963
2018,1009,3,5993088
2004,101,1,5034848
2004,101,2,5043236
2004,101,3,5051199
2019,1010,1,5127325
2019,1010,2,5148211
2019,1010,3,5149845
2019,1011,1,5661295
2019,1011,2,5664275
2019,1011,3,5667426
2019,1012,1,5526350
2019,1012,2,5532902
2019,1012,3,5540124
2019,1013,1,5512942
2019,1013,2,5514466
2019,1013,3,5524681
2019,1014,1,5750443
2019,1014,2,5754517
2019,1014,3,5758122
2019,1015,1,6208437
2019,1015,2,6211039
2019,1015,3,6211599
2019,1016,1,5347084
2019,1016,2,5350742
2019,1016,3,5351780
2019,1017,1,5071198
2019,1017,2,5089254
2019,1017,3,5090183
2019,1018,1,4921822
2019,1018,2,4924546
2019,1018,3,4940782
2019,1019,1,4868452
2019,1019,2,4893380
2019,1019,3,4898569
2004,102,1,5726131
2004,102,2,5730827
2004,102,3,5770730
2019,1020,1,6271275
2019,1020,2,6278608
2019,1020,3,6279580
2019,1021,1,5703796
2019,1021,2,5721592
2019,1021,3,5765229
2019,1022,1,5025710
2019,1022,2,5026691
2019,1022,3,5038295
2019,1023,1,4526665
2019,1023,2,4527500
2019,1023,3,4561864
2019,1024,1,7113667
2019,1024,2,7116308
2019,1024,3,7117488
2019,1025,1,5618992
2019,1025,2,5622821
2019,1025,3,5624204
2019,1026,1,4906755
2019,1026,2,4920098
2019,1026,3,4920613
2019,1027,1,5808904
2019,1027,2,5810670
2019,1027,3,5812457
2019,1028,1,5635653
2019,1028,2,5639801
2019,1028,3,5640655
2019,1029,1,5594678
2019,1029,2,5600755
2019,1029,3,5603574
2004,103,1,5555274
2004,103,2,5558406
2004,103,3,5559645
2019,1030,1,5645715
2019,1030,2,5662487
2019,1030,3,5689150
2020,1031,1,5455739
2020,1031,2,5458439
2020,1031,3,5461230
2020,1032,1,4970683
2020,1032,2,4984402
2020,1032,3,5004381
2020,1033,1,5772473
2020,1033,2,5781175
2020,1033,3,5781925
2020,1034,1,5281283
2020,1034,2,5287139
2020,1034,3,5299757
2020,1035,1,4781993
2020,1035,2,4793319
2020,1035,3,4801224
2020,1036,1,5505279
2020,1036,2,5529456
2020,1036,3,5550031
2020,1037,1,5048761
2020,1037,2,5057209
2020,1037,3,5064216
2020,1038,1,6426056
2020,1038,2,6426471
2020,1038,3,6429414
2020,1039,1,8375060
2020,1039,2,8379940
2020,1039,3,8383124
2004,104,1,4518448
2004,104,2,4519795
2004,104,3,4528645
2020,1040,1,5640364
