raceId,Max_laps
1,58
10,70
100,60
1000,70
1001,44
1002,53
1003,61
1004,53
1005,53
1006,56
1007,71
1008,71
1009,55
101,66
1010,58
1011,57
1012,56
1013,51
1014,66
1015,78
1016,70
1017,53
1018,71
1019,52
102,70
1020,64
1021,70
1022,44
1023,53
1024,61
1025,53
1026,52
1027,71
1028,56
1029,71
103,44
1030,55
1031,71
1032,71
1033,70
1034,52
1035,52
1036,66
1037,44
1038,53
1039,59
104,53
1040,53
1041,60
1042,66
1043,63
1044,58
1045,57
1046,87
1047,55
105,56
1051,57
1052,56
1053,63
1054,66
1055,66
1056,78
1057,51
1058,71
1059,53
106,53
1060,71
1061,52
1062,70
1063,1
1064,72
1065,53
1066,53
1067,58
1069,56
107,71
1070,71
1071,71
1072,50
1073,58
1074,57
1075,50
1076,58
1077,63
1078,57
1079,66
108,58
1080,64
1081,51
1082,70
1083,52
1084,71
1085,53
1086,70
1087,44
1088,72
1089,53
109,56
1091,59
1092,28
1093,56
1094,71
1095,71
1096,58
11,57
110,54
111,62
112,65
113,69
114,78
115,70
116,60
117,70
118,60
119,67
12,44
120,70
121,53
122,73
123,53
124,58
125,56
126,71
127,62
128,65
129,71
13,53
130,78
131,70
132,60
133,60
134,72
135,67
136,77
137,44
138,53
139,73
14,61
140,53
141,58
142,55
143,71
144,62
145,65
146,71
147,78
148,69
149,67
15,53
150,72
151,60
152,45
153,77
154,36
155,53
156,73
157,53
158,58
159,71
16,71
160,62
161,60
162,65
163,67
164,78
165,69
166,72
167,71
168,45
169,77
17,55
170,44
171,53
172,73
173,53
174,56
175,57
176,72
177,62
178,78
179,65
18,58
180,69
181,72
182,60
183,71
184,45
185,77
186,44
187,53
188,66
189,56
19,56
190,53
191,58
192,72
193,72
194,62
195,65
196,78
197,69
198,71
199,60
2,31
20,57
200,71
201,45
202,77
203,44
204,53
205,67
206,51
207,58
208,72
209,72
21,66
210,62
211,62
212,64
213,54
214,72
215,59
216,45
217,77
218,44
219,53
22,58
220,71
221,67
222,53
223,69
224,58
225,71
226,72
227,67
228,63
229,75
23,76
230,65
231,69
232,72
233,61
234,45
235,77
236,44
237,53
238,70
239,52
24,70
240,71
241,72
242,63
243,65
244,78
245,68
246,72
247,61
248,45
249,77
25,70
250,44
251,53
252,71
253,67
254,83
255,53
256,81
257,71
258,83
259,58
26,60
260,78
261,65
262,69
263,72
264,60
265,45
266,77
267,44
268,53
269,71
27,67
270,69
271,50
272,81
273,72
274,71
275,76
276,61
277,65
278,78
279,69
28,70
280,72
281,59
282,45
283,77
284,44
285,53
286,71
287,53
288,79
289,72
29,57
290,69
291,71
292,65
293,60
294,78
295,69
296,69
297,59
298,45
299,77
3,56
30,44
300,44
301,53
302,71
303,53
304,81
305,81
306,71
307,61
308,78
309,69
31,53
310,67
311,72
312,59
313,45
314,77
315,44
316,53
317,71
318,65
319,53
32,61
320,14
321,72
322,71
323,61
324,78
325,70
326,69
327,80
328,64
329,45
33,67
330,77
331,44
332,53
333,61
334,73
335,53
336,81
337,49
338,58
339,56
34,56
340,56
341,66
342,78
343,58
344,70
345,57
346,52
347,67
348,70
349,44
35,71
350,53
351,61
352,53
353,55
354,71
355,55
356,61
357,58
358,77
359,69
36,58
360,75
361,69
362,80
363,64
364,45
365,77
366,44
367,53
368,71
369,73
37,56
370,53
371,70
372,60
373,60
374,78
375,67
376,69
377,63
378,80
379,65
38,57
380,44
381,76
382,43
383,51
384,70
385,72
386,51
387,82
388,61
389,59
39,65
390,43
391,78
392,63
393,80
394,65
395,44
396,76
397,52
398,50
399,70
4,57
40,78
400,72
401,63
402,51
403,82
404,61
405,72
406,60
407,78
408,43
409,69
41,70
410,63
411,80
412,75
413,44
414,76
415,52
416,51
417,70
418,68
419,82
42,73
420,61
421,67
422,60
423,78
424,70
425,63
426,53
427,65
428,67
429,52
43,70
430,70
431,51
432,43
433,75
434,75
435,82
436,61
437,75
438,70
439,60
44,59
440,79
441,31
442,70
443,63
444,67
445,71
446,44
447,51
448,71
449,51
45,60
450,67
451,70
452,63
453,75
454,54
455,60
456,76
457,40
458,60
459,70
46,70
460,67
461,45
462,53
463,72
464,52
465,76
466,77
467,77
468,63
469,75
47,58
470,60
471,70
472,76
473,62
474,70
475,72
476,76
477,54
478,45
479,53
48,53
480,80
481,52
482,75
483,80
484,62
485,53
486,60
487,54
488,76
489,80
49,44
490,80
491,68
492,45
493,53
494,72
495,52
496,63
497,75
498,53
499,40
5,66
50,67
500,78
501,80
502,72
503,76
504,54
505,76
506,45
507,54
508,72
509,60
51,56
510,70
511,59
512,53
513,40
514,78
515,80
516,75
517,70
518,76
519,80
52,71
520,68
521,45
522,54
523,75
524,50
525,72
526,59
527,52
528,63
529,78
53,57
530,80
531,75
532,70
533,75
534,70
535,54
536,76
537,45
538,54
539,75
54,56
540,40
541,59
542,70
543,53
544,40
545,78
546,80
547,75
548,76
549,70
55,57
550,72
551,80
552,68
553,47
554,54
555,75
556,52
557,59
558,80
559,73
56,62
560,40
561,78
562,80
563,75
564,70
565,78
566,72
567,54
568,76
569,14
57,60
570,54
571,75
572,52
573,80
574,59
575,73
576,53
577,40
578,78
579,29
58,66
580,75
581,70
582,80
583,75
584,54
585,56
586,14
587,29
588,52
589,59
59,78
590,53
591,32
592,78
593,84
594,85
595,78
596,80
597,75
598,80
599,75
6,78
60,60
600,14
601,54
602,52
603,80
604,59
605,96
606,40
607,79
608,75
609,70
61,70
610,78
611,80
612,54
613,67
614,72
615,14
616,54
617,55
618,80
619,59
62,73
620,95
621,79
622,90
623,80
624,85
625,38
626,76
627,14
628,54
629,55
63,70
630,80
631,59
632,79
633,75
634,80
635,70
636,55
637,68
638,12
639,54
64,67
640,55
641,64
642,59
643,80
644,90
645,80
646,28
647,80
648,38
649,80
65,70
650,50
651,60
652,68
653,90
654,108
655,65
656,80
657,90
658,80
659,90
66,58
660,38
661,84
662,14
663,68
664,90
665,108
666,65
667,80
668,90
669,80
67,53
670,28
671,90
672,60
673,80
674,14
675,68
676,90
677,108
678,65
679,80
68,56
680,100
681,90
682,28
683,80
684,80
685,15
686,90
687,68
688,108
689,65
69,53
690,100
691,28
692,48
693,80
694,90
695,15
696,68
697,108
698,65
699,85
7,58
70,71
700,100
701,32
702,40
703,80
704,80
705,15
706,76
707,110
708,65
709,100
71,57
710,80
711,32
712,57
713,80
714,15
715,105
716,78
717,110
718,65
719,100
72,56
720,32
721,80
722,53
723,82
724,15
725,86
726,110
727,65
728,85
729,80
73,57
730,100
731,32
732,54
733,75
734,15
735,86
736,100
737,82
738,100
739,75
74,62
740,30
741,52
742,75
743,15
744,43
745,100
746,80
747,100
748,200
749,78
75,66
750,36
751,50
752,77
753,55
754,50
755,75
756,100
757,200
758,75
759,50
76,78
760,75
761,60
762,62
763,72
764,42
765,80
766,100
767,75
768,200
769,24
77,59
770,50
771,75
772,15
773,50
774,70
775,53
776,100
777,105
778,200
779,77
78,70
780,90
781,22
782,18
783,87
784,98
785,100
786,200
787,36
788,61
789,101
79,73
790,22
791,50
792,96
793,100
794,200
795,36
796,100
797,90
798,50
799,87
8,60
80,70
800,200
801,36
802,61
803,90
804,22
805,66
806,80
807,80
808,97
809,200
81,60
810,90
811,36
812,60
813,90
814,18
815,65
816,80
817,62
818,200
819,36
82,67
820,77
821,85
822,18
823,90
824,80
825,42
826,200
827,36
828,77
829,90
83,70
830,20
831,80
832,70
833,70
834,100
835,138
836,42
837,35
838,64
839,80
84,58
841,58
842,56
843,56
844,58
845,66
846,78
847,70
848,57
849,52
85,53
850,60
851,70
852,44
853,53
854,61
855,53
856,55
857,60
858,55
859,71
86,44
860,58
861,56
862,56
863,57
864,66
865,78
866,70
867,57
868,52
869,67
87,71
870,69
871,44
872,53
873,59
874,53
875,55
876,60
877,55
878,56
879,71
88,53
880,58
881,56
882,56
883,57
884,66
885,78
886,70
887,52
888,60
89,56
890,70
891,44
892,53
893,61
894,55
895,53
896,60
897,55
898,56
899,71
9,60
90,58
900,57
901,56
902,57
903,54
904,66
905,78
906,70
907,71
908,52
909,67
91,56
910,70
911,44
912,53
913,60
914,44
915,53
916,56
917,71
918,55
92,57
926,58
927,56
928,56
929,57
93,62
930,66
931,78
932,70
933,71
934,52
936,69
937,43
938,53
939,61
94,66
940,53
941,53
942,56
943,71
944,71
945,55
948,57
949,57
95,77
950,56
951,53
952,66
953,78
954,70
955,51
956,71
957,52
958,70
959,67
96,60
960,44
961,53
962,61
963,56
964,53
965,56
966,71
967,71
968,55
969,57
97,70
970,56
971,57
972,52
973,66
974,78
975,70
976,51
977,71
978,51
979,70
98,73
980,44
981,53
982,58
983,56
984,53
985,56
986,71
987,71
988,55
989,58
99,70
990,57
991,56
992,51
993,66
994,78
995,68
996,53
997,71
998,52
999,67
