year,Avg_race_finish_difference
1950,15.0481927710843
1951,10.2
1952,20.3103448275862
1953,17.9527559055118
1954,17.4636363636364
1955,12.1058823529412
1956,13.1413043478261
1957,12.4606741573034
1958,12.036036036036
1959,11.4736842105263
1960,16.7403100775194
1961,7.23008849557522
1962,6.53271028037383
1963,5.24107142857143
1964,5.75
1965,5.25423728813559
1966,6.13235294117647
1967,6.06315789473684
1968,6.09375
1969,4.2
1970,7.10606060606061
1971,6.71641791044776
1972,6.83236994219653
1973,5.86842105263158
1974,6.6969696969697
1975,6.01630434782609
1976,6.20276497695852
1977,7.82380952380952
1978,5.97073170731707
1979,6.13690476190476
1980,5.48538011695906
1981,6.5989010989011
1982,8.80540540540541
1983,6.296875
1984,6.36196319018405
1985,5.42134831460674
1986,5.03448275862069
1987,5.47872340425532
1988,6.26940639269406
1989,7.80310880829016
1990,6.05936073059361
1991,6.57142857142857
1992,5.20588235294118
1993,5.26442307692308
1994,7.63
1995,5.35
1996,3.99415204678363
1997,5.68372093023256
1998,4.15841584158416
1999,4.27659574468085
2000,4.26200873362445
2001,4.34080717488789
2002,4.16037735849057
2003,3.65196078431373
2004,3.14
2005,4.42222222222222
2006,3.44357976653697
2007,3.54181818181818
2008,3.9198606271777
2009,4.04752851711027
2010,3.39402985074627
2011,3.18356164383562
2012,4.0498753117207
2013,3.02316076294278
2014,2.76993865030675
2015,3.06375838926175
2016,3.33355614973262
2017,2.89250814332248
2018,3.13897058823529
2019,3.09864864864865
2020,3.42605633802817
2021,2.87176165803109
2022,3.18133333333333
