year,raceId,driverId,points,position,wins
2019,1018,822,166,2,2
2019,1018,1,197,1,6
2019,1018,830,126,3,1
2019,1018,20,123,4,0
2019,1018,844,105,5,0
2019,1018,825,14,12,0
2019,1018,807,16,11,0
2019,1018,8,21,9,0
2019,1018,840,6,16,0
2019,1018,826,10,14,0
2019,1018,842,43,6,0
2019,1018,846,22,8,0
2019,1018,815,13,13,0
2019,1018,848,7,15,0
2019,1018,841,1,18,0
2019,1018,847,0,19,0
2019,1018,9,0,20,0
2019,1018,154,2,17,0
2019,1018,817,16,10,0
2019,1018,832,30,7,0
2020,1039,822,135,2,1
2020,1039,844,49,8,0
2020,1039,846,65,4,0
2020,1039,1,190,1,6
2020,1039,832,41,11,0
2020,1039,815,44,9,0
2020,1039,842,43,10,1
2020,1039,839,30,12,0
2020,1039,841,2,17,0
2020,1039,20,17,13,0
2020,1039,849,0,19,0
2020,1039,826,10,14,0
2020,1039,848,63,5,0
2020,1039,8,2,16,0
2020,1039,847,0,20,0
2020,1039,154,0,21,0
2020,1039,825,1,18,0
2020,1039,840,57,6,0
2020,1039,817,53,7,0
2020,1039,830,110,3,1
2020,1039,807,6,15,0
2021,1060,849,0,20,0
2021,1060,842,39,9,0
2021,1060,20,30,10,0
2021,1060,847,0,17,0
2021,1060,8,1,15,0
2021,1060,832,60,7,0
2021,1060,844,62,6,0
2021,1060,815,104,3,1
2021,1060,846,101,4,0
2021,1060,830,182,1,5
2021,1060,853,0,19,0
2021,1060,4,20,11,0
2021,1060,854,0,18,0
2021,1060,822,92,5,0
2021,1060,840,14,12,0
2021,1060,839,12,13,0
2021,1060,841,1,16,0
2021,1060,852,9,14,0
2021,1060,817,40,8,0
2021,1060,1,150,2,3
2022,1082,20,13,14,0
2022,1082,830,175,1,6
2022,1082,815,129,2,1
2022,1082,807,0,20,0
2022,1082,849,0,21,0
2022,1082,848,3,17,0
2022,1082,840,3,18,0
2022,1082,855,5,16,0
2022,1082,4,18,10,0
2022,1082,852,11,15,0
2022,1082,832,102,5,0
2022,1082,1,77,6,0
2022,1082,847,111,4,0
2022,1082,825,15,12,0
2022,1082,822,46,8,0
2022,1082,842,16,11,0
2022,1082,839,39,9,0
2022,1082,817,15,13,0
2022,1082,844,126,3,2
2022,1082,846,50,7,0
2022,1082,854,0,19,0
2003,116,51,0,20,0
2003,116,42,0,18,0
2003,116,44,1,16,0
2003,116,17,9,11,0
2003,116,21,10,9,1
2003,116,43,3,13,0
2003,116,52,1,17,0
2003,116,2,2,15,0
2003,116,22,37,6,0
2003,116,50,0,19,0
2003,116,18,10,10,0
2003,116,35,3,14,0
2003,116,23,43,3,1
2003,116,4,39,5,0
2003,116,49,7,12,0
2003,116,15,13,8,0
2003,116,30,58,1,4
2003,116,8,51,2,1
2003,116,31,39,4,1
2003,116,14,25,7,1
2002,132,44,0,20,0
2002,132,59,0,22,0
2002,132,15,4,10,0
2002,132,22,26,4,1
2002,132,14,26,5,1
2002,132,21,6,8,0
2002,132,49,2,15,0
2002,132,11,0,21,0
2002,132,35,0,16,0
2002,132,66,0,17,0
2002,132,13,4,11,0
2002,132,2,5,9,0
2002,132,18,10,7,0
2002,132,23,30,2,1
2002,132,37,0,19,0
2002,132,62,0,18,0
2002,132,63,2,14,0
2002,132,17,2,13,0
2002,132,56,3,12,0
2002,132,8,11,6,0
2002,132,31,27,3,0
2002,132,30,76,1,6
2001,149,41,0,19,0
2001,149,37,1,16,0
2001,149,31,12,5,0
2001,149,59,0,22,0
2001,149,35,7,8,0
2001,149,58,0,21,0
2001,149,60,0,24,0
2001,149,18,0,18,0
2001,149,15,7,10,0
2001,149,57,9,6,0
2001,149,23,25,4,2
2001,149,21,1,17,0
2001,149,4,0,23,0
2001,149,56,4,13,0
2001,149,50,1,15,0
2001,149,55,3,14,0
2001,149,54,0,20,0
2001,149,44,5,12,0
2001,149,8,7,9,0
2001,149,49,6,11,0
2001,149,2,8,7,0
2001,149,22,26,3,0
2001,149,14,44,2,2
2001,149,30,68,1,5
2000,166,30,56,1,5
2000,166,22,32,4,0
2000,166,23,14,6,0
2000,166,35,8,7,0
2000,166,21,18,5,0
2000,166,41,1,14,0
2000,166,25,0,17,0
2000,166,48,0,20,0
2000,166,2,0,18,0
2000,166,49,5,9,0
2000,166,15,6,8,0
2000,166,18,3,12,0
2000,166,50,2,13,0
2000,166,37,1,15,0
2000,166,60,0,19,0
2000,166,57,38,3,1
2000,166,14,44,2,3
2000,166,63,3,11,0
2000,166,56,3,10,0
2000,166,64,0,16,0
2000,166,65,0,21,0
2000,166,55,0,22,0
1999,183,41,0,22,0
1999,183,64,3,11,0
1999,183,15,1,13,0
1999,183,70,0,21,0
1999,183,65,2,12,0
1999,183,69,0,20,0
1999,183,63,0,17,0
1999,183,55,1,16,0
1999,183,71,5,9,0
1999,183,14,28,5,1
1999,183,48,0,19,0
1999,183,25,3,10,0
1999,183,44,1,14,0
1999,183,57,44,1,3
1999,183,30,32,3,2
1999,183,68,0,18,0
1999,183,37,1,15,0
1999,183,22,10,8,0
1999,183,21,13,7,0
1999,183,23,19,6,0
1999,183,49,29,4,1
1999,183,56,42,2,2
1998,199,57,56,1,4
1998,199,14,30,3,1
1998,199,49,8,8,0
1998,199,56,29,4,0
1998,199,35,11,7,0
1998,199,65,1,12,0
1998,199,25,17,5,0
1998,199,71,0,17,0
1998,199,44,0,20,0
1998,199,30,54,2,4
1998,199,21,15,6,0
1998,199,55,3,11,0
1998,199,76,1,15,0
1998,199,22,4,9,0
1998,199,15,0,22,0
1998,199,68,0,21,0
1998,199,75,0,16,0
1998,199,73,0,18,0
1998,199,23,1,13,0
1998,199,74,0,19,0
1998,199,63,3,10,0
1998,199,64,1,14,0
1998,199,50,0,23,0
1997,215,58,0,26,0
1997,215,82,0,23,0
1997,215,25,4,14,0
1997,215,81,0,25,0
1997,215,22,6,13,0
1997,215,76,0,19,0
1997,215,23,7,11,0
1997,215,79,0,24,0
1997,215,71,1,18,0
1997,215,56,18,5,0
1997,215,50,0,21,0
1997,215,63,2,15,0
1997,215,21,8,10,0
1997,215,65,7,12,0
1997,215,55,21,3,0
1997,215,35,43,2,4
1997,215,64,0,22,0
1997,215,15,0,20,0
1997,215,49,19,4,1
1997,215,75,1,16,0
1997,215,78,1,17,0
1997,215,44,15,6,0
1997,215,77,10,8,0
1997,215,57,10,9,0
1997,215,30,47,1,3
1997,215,14,14,7,1
1996,232,71,63,1,6
1996,232,35,38,2,1
1996,232,56,9,9,0
1996,232,77,10,8,0
1996,232,57,12,6,0
1996,232,63,5,12,0
1996,232,44,11,7,1
1996,232,49,6,11,0
1996,232,73,0,19,0
1996,232,64,1,15,0
1996,232,79,0,20,0
1996,232,55,25,4,0
1996,232,30,26,3,1
1996,232,83,0,18,0
1996,232,69,0,21,0
1996,232,84,2,14,0
1996,232,22,7,10,0
1996,232,50,1,16,0
1996,232,14,14,5,0
1996,232,65,4,13,0
1996,232,85,0,22,0
1996,232,21,0,17,0
1995,248,92,0,26,0
1995,248,90,0,29,0
1995,248,89,0,23,0
1995,248,96,2,14,0
1995,248,91,0,28,0
1995,248,50,0,27,0
1995,248,84,3,13,0
1995,248,22,7,7,0
1995,248,69,0,21,0
1995,248,81,1,16,0
1995,248,94,0,18,0
1995,248,95,0,25,0
1995,248,56,6,9,0
1995,248,93,0,22,0
1995,248,79,0,19,0
1995,248,44,7,8,0
1995,248,49,5,12,0
1995,248,65,25,4,1
1995,248,71,35,2,2
1995,248,64,0,24,0
1995,248,85,0,20,0
1995,248,88,1,15,0
1995,248,63,0,17,0
1995,248,87,5,11,0
1995,248,55,32,3,1
1995,248,57,5,10,0
1995,248,77,21,6,0
1995,248,14,23,5,0
1995,248,30,56,1,5
2008,26,1,48,1,3
2008,26,2,36,5,0
2008,26,3,8,11,0
2008,26,4,13,9,0
2008,26,5,24,6,0
2008,26,6,8,12,0
2008,26,7,2,17,0
2008,26,8,48,3,2
2008,26,9,46,4,1
2008,26,15,20,7,0
2008,26,17,18,8,0
2008,26,14,6,13,0
2008,26,18,3,16,0
2008,26,12,2,18,0
2008,26,21,0,19,0
2008,26,22,11,10,0
2008,26,19,0,21,0
2008,26,11,0,20,0
2008,26,13,48,2,3
2008,26,10,5,14,0
2008,26,16,0,22,0
2008,26,20,5,15,0
1994,265,110,4,16,0
1994,265,78,6,9,0
1994,265,88,0,36,0
1994,265,108,0,33,0
1994,265,107,0,31,0
1994,265,92,0,34,0
