Year,raceId,circuitId,Average top speed,Distance between 1st and 2nd,Distance between 2nd and 3rd,Overtaking number,Overtaking weight,Number of pitstops,Average length of pitstops,Average differences in finish,Crashes,# of laps
2009,1,1,214.3157895,807,797,278,1620,0,0,4,5,58
2009,2,2,201.8333333,22722,791,159,1032,0,0,3.8,4,31
2009,3,17,170.55,10970,34005,261,1583,0,0,2.6625,2,56
2009,4,3,203.7,7187,1983,201,1437,0,0,3.3,0,57
2009,5,4,199.0625,13056,868,138,764,0,0,2.5375,4,66
2009,6,6,157.2,7666,5776,129,801,0,0,3.0125,5,78
2009,7,5,216.45,6714,747,194,1234,0,0,2.0375,0,58
2009,8,9,225.6,15188,25987,161,1042,0,0,3.0375,2,60
2009,9,20,194.85,9252,6654,276,1851,0,0,3.525,0,60
2009,10,11,189.6666667,11529,5357,193,1224,0,0,4.236842105,0,70
2009,11,12,195.35,2358,13636,147,1061,0,0,4.970588235,0,57
2009,12,13,232.75,939,2936,161,975,0,0,5.25,4,44
2009,13,14,243.0526316,2866,27798,139,872,0,0,5.411764706,2,53
2009,14,15,165.9,9634,6990,135,865,0,0,4.485294118,2,61
2009,15,22,222.5789474,4877,1595,155,936,0,0,4.676470588,2,53
2009,16,18,207.7058824,7626,11318,226,1239,0,0,4.0625,4,71
2009,17,24,197.6,17857,610,149,996,0,0,2.828125,0,55
2008,18,1,213.8823529,5478,2685,176,870,0,0,3.079545455,8,58
2008,19,2,206,19570,18880,194,1272,0,0,3.272727273,3,56
2008,20,3,205.1428571,3339,1659,174,1254,0,0,2.738636364,1,57
2008,21,4,200.75,3228,959,179,983,0,0,2.920454545,6,66
2008,22,5,218.7777778,3779,492,162,1050,0,0,2.3,2,58
2008,23,6,146,3064,1747,212,1185,0,0,3.15,5,76
2008,24,7,199.6,16495,6857,249,1527,0,0,3.6,5,70
2008,25,8,203.55,17984,10266,182,1182,0,0,3.35,1,70
2008,26,9,196.9444444,68577,13696,212,1193,0,0,2.5625,7,60
2008,27,10,213.25,5586,3753,211,1454,0,0,3.1,1,67
2008,28,11,191.2,11061,5795,158,1196,0,0,4.2875,0,70
2008,29,12,194.9473684,5611,31742,126,841,0,0,3.825,2,57
2008,30,13,229.1,9383,1156,155,1124,0,0,4.3,2,44
2008,31,14,229.25,12512,7959,239,1556,0,0,3.7625,1,53
2008,32,15,169.1,2957,2960,259,1566,0,0,5.5375,3,61
2008,33,16,205.4210526,5283,1117,203,1334,0,0,3.875,1,67
2008,34,17,197.1,14925,1520,190,1160,0,0,2.8625,1,56
2008,35,18,207.3333333,13298,2937,205,1285,0,0,3.6125,2,71
2007,36,1,217.2727273,7242,11353,169,1079,0,0,2.75,3,58
2007,37,2,202.6190476,17557,782,198,1286,0,0,2.522727273,1,56
2007,38,3,203.7,2360,8479,180,1147,0,0,2.329545455,2,57
2007,39,4,198.5714286,6790,10666,158,939,0,0,3.818181818,1,65
