raceId,year,circuitId,name,top_speed,fin_diff_1_2,fin_diff_2_3,overtake_num_per_lap,overtake_weight_per_lap,pitstop_num_per_lap,pitstop_len,diff_fin_place,crashes_per_lap,difference (fin_diff_1_2*0.66+fin_diff_2_3*0.34),pitstops (pitstop_num*0.8+pitstop_len*0.2),multiplier
1,2009,1,Albert Park Grand Prix Circuit,0.665277097,0,5.60E-03,0.903335016,0.774288844,0,0,0.581608193,0.668103448,0.001903878,0,0.3
2,2009,2,Sepang International Circuit,0.519883112,1,5.42E-03,1,1,0,0,0.522336021,1,0.661842791,0,0.3
3,2009,17,Shanghai International Circuit,0.155499019,0.463746292,1,0.865239455,0.803343829,0,0,0.185225539,0.276785714,0.646072553,0,0.3
4,2009,3,Bahrain International Circuit,0.541625797,0.2911248,4.11E-02,0.538811327,0.642060859,0,0,0.374155589,0,0.206121108,0,0.3
5,2009,4,Circuit de Barcelona-Catalunya,0.487608815,0.558932238,7.73E-03,0.125766772,5.72E-02,0,0,0.148180431,0.46969697,0.371522018,0,0.3
6,2009,6,Circuit de Monaco,0,0.312981976,0.154693816,0,0,0,0,0.288951841,0.496794872,0.259164002,0,0.3
7,2009,5,Istanbul Park,0.690136096,0.26954141,4.10E-03,0.486587303,0.492724832,0,0,0,0,0.17929215,0,0.3
8,2009,9,Silverstone Circuit,0.796714075,0.656217203,0.759904177,0.296239438,0.307226739,0,0,0.296360863,0.258333333,0.691470774,0,0.3
9,2009,20,Nürburgring,0.438542177,0.385352498,0.180985177,0.847768654,0.903380713,0,0,0.440836784,0,0.315867609,0,0.3
10,2009,11,Hungaroring,0.378167403,0.489253936,0.142147028,0.317478452,0.316844747,0,0,0.651798924,0,0.371237587,0,0.3
11,2009,12,Valencia Street Circuit,0.444366111,7.08E-02,0.390058392,0.26620192,0.356337091,0,0,0.86925256,0,0.179330326,0,0.3
12,2009,13,Circuit de Spa-Francorchamps,0.879996322,6.02E-03,6.97E-02,0.577017948,0.515298606,0,0,0.952059272,0.704545455,0.027656749,0,0.3
13,2009,14,Autodromo Nazionale di Monza,1,9.40E-02,0.814133852,0.278775101,0.268700917,0,0,1,0.29245283,0.338815092,0,0.3
14,2009,15,Marina Bay Street Circuit,0.101336439,0.402783482,0.191046564,0.160931986,0.170513963,0,0,0.725430377,0.254098361,0.33079293,0,0.3
15,2009,22,Suzuka Circuit,0.761525258,0.185717545,2.95E-02,0.365644345,0.322637494,0,0,0.782087601,0.29245283,0.132602027,0,0.3
16,2009,18,Autódromo José Carlos Pace,0.588285781,0.311156742,0.320646803,0.440049077,0.312607756,0,0,0.600130747,0.436619718,0.314383363,0,0.3
17,2009,24,Yas Marina Circuit,0.470573811,0.778005932,0,0.303651293,0.335751433,0,0,0.234310307,0,0.513483915,0,0.3
18,2008,1,Albert Park Grand Prix Circuit,0.815403638,3.84E-02,0.070176,0.358412155,9.07E-03,0,0,0.240786241,1,0.049215829,0,0.3
19,2008,2,Sepang International Circuit,0.720720721,0.253169765,0.588416,0.545371799,0.543138717,0,0,0.300456301,0.388392857,0.367153485,0,0.3
20,2008,3,Bahrain International Circuit,0.71042471,5.82E-03,0.037344,0.366306695,0.478638401,0,0,0.135486136,0.127192982,0.016539081,0,0.3
21,2008,4,Circuit de Barcelona-Catalunya,0.657657658,4.13E-03,0.014944,0.218188363,1.72E-02,0,0,0.191646192,0.659090909,0.007806653,0,0.3
22,2008,5,Istanbul Park,0.874207541,1.25E-02,0,0.253414761,0.229951613,0,0,0,0.25,0.008267601,0,0.3
23,2008,6,Circuit de Monaco,0,1.63E-03,0.04016,0.251835853,6.22E-02,0,0,0.262548263,0.476973684,0.014730596,0,0.3
24,2008,7,Circuit Gilles Villeneuve,0.643843844,0.206309052,0.20368,0.585763653,0.465537641,0,0,0.401544402,0.517857143,0.205415174,0,0.3
25,2008,8,Circuit de Nevers Magny-Cours,0.691291291,0.229000305,0.312768,0.169416847,0.153587268,0,0,0.324324324,0.103571429,0.257481321,0,0.3
26,2008,9,Silverstone Circuit,0.611945278,1,0.422528,0.575406767,0.350299217,0,0,8.11E-02,0.845833333,0.80365952,0,0.3
27,2008,10,Hockenheimring,0.807807808,4.01E-02,0.104352,0.408336288,0.466182571,0,0,0.247104247,0.108208955,0.061921923,0,0.3
